BoundingBox_X1,BoundingBox_Y1,BoundingBox_X2,BoundingBox_Y2,Confidence,Label,Width,Height,AspectRatio
62,113,629,639,0.5499904751777649,15,567,526,1.0779467680608366
56,94,635,639,0.3188413083553314,0,579,545,1.0623853211009173
63,90,637,639,0.6528480648994446,0,574,549,1.0455373406193078
69,111,634,638,0.7119420170783997,15,565,527,1.0721062618595825
64,84,635,639,0.5266130566596985,0,571,555,1.0288288288288288
70,109,637,639,0.4482702612876892,15,567,530,1.069811320754717
72,136,631,639,0.6538953185081482,15,559,503,1.1113320079522864
26,98,557,639,0.37573033571243286,0,531,541,0.9815157116451017
71,116,632,638,0.6405695080757141,15,561,522,1.0747126436781609
60,101,638,638,0.4510100185871124,0,578,537,1.0763500931098697
70,111,634,638,0.575061559677124,15,564,527,1.0702087286527515
77,87,640,638,0.47089049220085144,0,563,551,1.0217785843920144
60,94,614,640,0.5566734671592712,0,554,546,1.0146520146520146
73,109,631,639,0.4853202998638153,15,558,530,1.0528301886792453
73,121,634,639,0.5235004425048828,15,561,518,1.083011583011583
62,257,558,639,0.39254701137542725,15,496,382,1.2984293193717278
77,102,637,637,0.32885873317718506,0,560,535,1.0467289719626167
67,109,638,638,0.6148658990859985,15,571,529,1.0793950850661627
62,95,637,639,0.7907159328460693,0,575,544,1.056985294117647
54,95,603,640,0.4936577081680298,0,549,545,1.0073394495412844
75,226,634,639,0.3605697751045227,0,559,413,1.3535108958837772
74,120,630,639,0.3332095742225647,15,556,519,1.071290944123314
67,109,636,639,0.47668346762657166,15,569,530,1.0735849056603775
54,101,638,640,0.418711394071579,0,584,539,1.0834879406307978
71,149,632,639,0.5072431564331055,15,561,490,1.1448979591836734
67,238,626,639,0.31021392345428467,0,559,401,1.3940149625935163
58,88,635,639,0.6352757811546326,0,577,551,1.0471869328493648
64,93,636,639,0.8016511797904968,0,572,546,1.0476190476190477
71,107,631,639,0.4865899384021759,15,560,532,1.0526315789473684
67,82,639,639,0.33035871386528015,0,572,557,1.0269299820466786
70,98,628,638,0.3430706560611725,15,558,540,1.0333333333333334
44,81,608,639,0.5318979024887085,0,564,558,1.010752688172043
62,83,626,638,0.5167466402053833,15,564,555,1.0162162162162163
43,97,616,640,0.6438073515892029,0,573,543,1.0552486187845305
64,100,638,638,0.4337318539619446,15,574,538,1.066914498141264
67,111,638,639,0.525917112827301,15,571,528,1.081439393939394
76,56,638,640,0.4147478938102722,0,562,584,0.9623287671232876
62,93,636,639,0.46170106530189514,0,574,546,1.0512820512820513
70,133,632,638,0.42680221796035767,15,562,505,1.112871287128713
67,70,640,638,0.5676465630531311,0,573,568,1.0088028169014085
68,102,637,638,0.4020426869392395,15,569,536,1.0615671641791045
71,103,630,638,0.4992157518863678,15,559,535,1.0448598130841122
62,87,635,639,0.42877429723739624,0,573,552,1.0380434782608696
67,116,630,639,0.6056303381919861,15,563,523,1.0764818355640535
63,93,637,639,0.5412692427635193,0,574,546,1.0512820512820513
73,105,636,639,0.3240840435028076,15,563,534,1.054307116104869
69,108,632,638,0.6270514726638794,15,563,530,1.0622641509433963
57,84,635,639,0.5561615228652954,0,578,555,1.0414414414414415
71,87,628,638,0.4050940275192261,15,557,551,1.0108892921960073
68,80,638,639,0.5903080701828003,0,570,559,1.0196779964221825
67,97,636,638,0.44187799096107483,15,569,541,1.0517560073937153
64,69,637,639,0.5803822875022888,0,573,570,1.0052631578947369
74,83,630,638,0.5374749898910522,15,556,555,1.0018018018018018
64,86,637,638,0.5825580954551697,15,573,552,1.0380434782608696
70,78,640,639,0.3416340947151184,0,570,561,1.0160427807486632
59,77,640,639,0.564517617225647,0,581,562,1.0338078291814947
64,92,638,638,0.41036391258239746,15,574,546,1.0512820512820513
65,79,625,639,0.5022768378257751,15,560,560,1.0
61,72,636,639,0.40450701117515564,0,575,567,1.0141093474426808
77,59,634,640,0.46753382682800293,0,557,581,0.9586919104991394
78,170,631,638,0.4039952754974365,15,553,468,1.1816239316239316
69,78,640,639,0.5880243182182312,0,571,561,1.017825311942959
63,81,636,638,0.40363362431526184,15,573,557,1.0287253141831239
72,239,631,638,0.6728426814079285,15,559,399,1.4010025062656641
48,89,638,638,0.3913275897502899,15,590,549,1.0746812386156648
63,80,636,640,0.3555327355861664,0,573,560,1.0232142857142856
73,214,625,639,0.5881119966506958,15,552,425,1.2988235294117647
85,76,625,640,0.4262421727180481,0,540,564,0.9574468085106383
63,87,636,639,0.657081127166748,0,573,552,1.0380434782608696
64,92,621,639,0.45019954442977905,15,557,547,1.0182815356489945
71,237,630,638,0.582680881023407,15,559,401,1.3940149625935163
73,74,639,639,0.5363982319831848,0,566,565,1.0017699115044247
58,81,637,639,0.6011431217193604,0,579,558,1.0376344086021505
67,109,637,639,0.41362473368644714,15,570,530,1.0754716981132075
65,94,636,638,0.5188180208206177,15,571,544,1.0496323529411764
69,69,635,640,0.373184472322464,0,566,571,0.9912434325744308
63,244,610,638,0.3031097948551178,15,547,394,1.3883248730964468
72,163,626,638,0.6455837488174438,15,554,475,1.1663157894736842
76,83,640,639,0.6179074048995972,0,564,556,1.014388489208633
71,117,631,638,0.40754351019859314,15,560,521,1.0748560460652592
67,112,626,639,0.6040050983428955,15,559,527,1.060721062618596
66,81,634,638,0.565233588218689,15,568,557,1.0197486535008977
64,79,639,639,0.46677523851394653,0,575,560,1.0267857142857142
73,202,632,639,0.408470094203949,15,559,437,1.2791762013729977
67,121,635,638,0.35271915793418884,15,568,517,1.0986460348162477
64,84,594,640,0.3328876793384552,0,530,556,0.9532374100719424
62,83,622,639,0.5633371472358704,15,560,556,1.0071942446043165
70,81,637,639,0.44449856877326965,0,567,558,1.0161290322580645
66,78,636,639,0.5918999314308167,15,570,561,1.0160427807486632
56,73,636,639,0.5406717658042908,0,580,566,1.0247349823321554
74,86,632,638,0.35588333010673523,15,558,552,1.0108695652173914
61,72,636,639,0.42260420322418213,0,575,567,1.0141093474426808
63,87,637,638,0.4058346450328827,15,574,551,1.0417422867513613
73,114,638,638,0.5468148589134216,15,565,524,1.0782442748091603
66,93,637,639,0.5178670287132263,15,571,546,1.0457875457875458
56,261,618,639,0.3370652198791504,15,562,378,1.4867724867724867
64,86,632,640,0.3126269578933716,0,568,554,1.0252707581227436
70,227,632,638,0.6534733176231384,15,562,411,1.367396593673966
56,91,628,639,0.5826766490936279,0,572,548,1.0437956204379562
79,91,640,639,0.6273215413093567,0,561,548,1.0237226277372262
75,107,638,638,0.45368850231170654,15,563,531,1.0602636534839924
58,85,635,639,0.6768245100975037,0,577,554,1.0415162454873645
54,107,629,639,0.7138671875,0,575,532,1.080827067669173
60,109,633,639,0.8646591305732727,0,573,530,1.0811320754716982
59,112,634,638,0.8398823738098145,0,575,526,1.0931558935361216
66,111,619,639,0.5702022314071655,0,553,528,1.0473484848484849
58,103,628,639,0.7177857160568237,0,570,536,1.0634328358208955
64,113,630,639,0.777742862701416,0,566,526,1.0760456273764258
71,115,638,638,0.6022630929946899,0,567,523,1.0841300191204588
59,119,636,640,0.40876466035842896,16,577,521,1.107485604606526
110,145,630,638,0.44960838556289673,0,520,493,1.054766734279919
27,98,615,639,0.8477362394332886,0,588,541,1.0868761552680222
36,84,630,637,0.5936982035636902,15,594,553,1.074141048824593
36,85,615,638,0.488203763961792,0,579,553,1.047016274864376
269,349,526,639,0.38482487201690674,15,257,290,0.8862068965517241
271,350,525,639,0.375217467546463,21,254,289,0.8788927335640139
20,3,637,638,0.35724011063575745,0,617,635,0.9716535433070866
133,138,632,639,0.4292565882205963,0,499,501,0.9960079840319361
146,126,636,639,0.3947509229183197,0,490,513,0.9551656920077972
134,224,576,639,0.35719382762908936,0,442,415,1.0650602409638554
155,59,637,640,0.31182676553726196,0,482,581,0.8296041308089501
146,88,639,640,0.40513715147972107,0,493,552,0.8931159420289855
145,87,640,639,0.3201749920845032,15,495,552,0.8967391304347826
132,77,639,640,0.4037798047065735,0,507,563,0.9005328596802842
136,80,639,639,0.6256003379821777,0,503,559,0.8998211091234347
121,107,640,638,0.6853357553482056,0,519,531,0.9774011299435028
121,70,639,637,0.8432003855705261,0,518,567,0.9135802469135802
63,281,130,501,0.3238072991371155,72,67,220,0.30454545454545456
111,26,640,637,0.7767488360404968,0,529,611,0.8657937806873978
59,279,128,501,0.4793187975883484,72,69,222,0.3108108108108108
116,41,639,638,0.7984763979911804,0,523,597,0.8760469011725294
88,22,639,638,0.6834236979484558,0,551,616,0.8944805194805194
100,22,639,638,0.8796948194503784,0,539,616,0.875
113,40,639,638,0.8572903871536255,0,526,598,0.8795986622073578
106,28,638,638,0.8835760951042175,0,532,610,0.8721311475409836
102,38,638,638,0.7307515144348145,0,536,600,0.8933333333333333
109,35,638,638,0.8677218556404114,0,529,603,0.8772802653399668
105,56,636,638,0.6385752558708191,0,531,582,0.9123711340206185
116,53,637,638,0.8516173362731934,0,521,585,0.8905982905982905
108,50,638,638,0.8778315186500549,0,530,588,0.9013605442176871
110,55,635,638,0.8176931738853455,0,525,583,0.9005145797598628
110,50,638,638,0.8370943665504456,0,528,588,0.8979591836734694
105,53,637,637,0.8360183238983154,0,532,584,0.910958904109589
107,55,638,637,0.4637058675289154,0,531,582,0.9123711340206185
105,7,636,640,0.34116020798683167,16,531,633,0.8388625592417062
102,159,628,639,0.5730502009391785,0,526,480,1.0958333333333334
105,170,628,638,0.3188602924346924,15,523,468,1.1175213675213675
99,112,633,638,0.8178034424781799,0,534,526,1.015209125475285
106,111,633,637,0.8044211864471436,0,527,526,1.0019011406844107
107,91,638,638,0.8104091882705688,0,531,547,0.9707495429616088
104,370,121,415,0.36890658736228943,39,17,45,0.37777777777777777
103,152,632,638,0.6442190408706665,0,529,486,1.0884773662551441
103,372,121,418,0.41824209690093994,39,18,46,0.391304347826087
105,148,636,638,0.4985947906970978,0,531,490,1.083673469387755
107,195,636,638,0.39584359526634216,15,529,443,1.1941309255079007
103,371,121,417,0.35914215445518494,39,18,46,0.391304347826087
519,318,639,630,0.3363419473171234,57,120,312,0.38461538461538464
101,153,631,638,0.7713037729263306,0,530,485,1.092783505154639
110,86,636,638,0.6877567768096924,0,526,552,0.9528985507246377
101,141,632,638,0.5901140570640564,0,531,497,1.06841046277666
103,370,120,417,0.3332623243331909,39,17,47,0.3617021276595745
109,127,635,638,0.6167887449264526,15,526,511,1.0293542074363993
518,317,639,633,0.30403873324394226,57,121,316,0.3829113924050633
109,106,637,638,0.8633255362510681,0,528,532,0.9924812030075187
104,121,628,638,0.4482807219028473,0,524,517,1.0135396518375241
106,98,628,638,0.42020711302757263,15,522,540,0.9666666666666667
106,148,631,639,0.691992998123169,0,525,491,1.0692464358452138
519,317,639,635,0.3861449360847473,57,120,318,0.37735849056603776
102,368,119,415,0.3783954679965973,39,17,47,0.3617021276595745
107,73,634,638,0.598224401473999,0,527,565,0.9327433628318584
115,75,629,639,0.5451350212097168,0,514,564,0.9113475177304965
105,134,629,638,0.3116600811481476,15,524,504,1.0396825396825398
103,109,629,638,0.7039546966552734,0,526,529,0.994328922495274
101,370,120,415,0.310873806476593,39,19,45,0.4222222222222222
108,191,633,638,0.4939463436603546,15,525,447,1.174496644295302
103,128,627,638,0.40067175030708313,0,524,510,1.0274509803921568
519,315,639,626,0.3746320307254791,59,120,311,0.3858520900321543
518,318,639,634,0.3000567853450775,57,121,316,0.3829113924050633
105,67,628,638,0.6012059450149536,0,523,571,0.9159369527145359
108,23,638,638,0.8111007213592529,0,530,615,0.8617886178861789
106,144,633,638,0.45940375328063965,0,527,494,1.0668016194331984
104,28,633,638,0.469492644071579,0,529,610,0.8672131147540983
102,60,635,637,0.3040838837623596,15,533,577,0.9237435008665511
105,8,636,639,0.34543055295944214,0,531,631,0.8415213946117274
101,150,631,638,0.7988510727882385,0,530,488,1.0860655737704918
103,46,623,638,0.8336113691329956,0,520,592,0.8783783783783784
522,325,639,635,0.31677117943763733,57,117,310,0.3774193548387097
102,62,624,638,0.8281421661376953,0,522,576,0.90625
514,333,639,637,0.3051415681838989,57,125,304,0.41118421052631576
101,73,631,637,0.785300612449646,0,530,564,0.9397163120567376
102,376,121,421,0.34692955017089844,39,19,45,0.4222222222222222
102,79,621,638,0.7533376216888428,0,519,559,0.9284436493738819
102,246,617,639,0.5225333571434021,0,515,393,1.3104325699745547
99,77,480,640,0.40264788269996643,0,381,563,0.6767317939609236
94,75,622,639,0.8472000360488892,0,528,564,0.9361702127659575
101,72,624,638,0.8838340044021606,0,523,566,0.9240282685512368
89,68,632,638,0.8213863968849182,0,543,570,0.9526315789473684
